org,verdict,blocks,self_blocks,ext_blocks,srcs,months,nums,w_before,w_fail,w_actor,dual,own_channel,channels,examples
OCR,THIN,2,0,2,2,2,16,1,2,2,0,0,Upstage:1;Mistral AI:1,transcripts/channels/Upstage/How_Amwins_Transformed_Group_Benefits_Underwriting_with_AI-P__87iLEdL_wL4.md@0|transcripts/channels/Mistral_AI/Advancing_innovation_at_the_European_Patent_Office_AI_Now_Su__hZQa78vKxZ4.md@5000
JavaScript,THIN,2,0,2,2,2,5,0,0,1,0,0,Meta Developers:1;Weaviate:1,transcripts/channels/Meta_Developers/[ASL]_Your_First_Steps_into_Immersive_Web_Development__cG-Wjfaqhic.md@0|transcripts/channels/Weaviate/Weaviate_TECH_Hands-On_Query_Agent_in_JavaScript__Iu6x_Ik4uZk.md@0
Android,THIN,2,0,2,2,2,3,1,0,0,0,0,Meta Developers:1;Google Developers:1,transcripts/channels/Meta_Developers/From_Mobile_to_Meta_Horizon_OS__gEIksIz0vVE.md@7000|transcripts/channels/Google_Developers/Rewinding_back_to_our_favorites_launches_from_2025_-_Google___lT3YDLqllVI.md@1000
Auto,THIN,2,0,2,2,2,6,1,1,2,0,0,Tesla:1;Waymo:1,transcripts/channels/Tesla/Las_Megas_Tesla_Megablock_Event__wNSS19XKXRE.md@7000|transcripts/channels/Waymo/Waymo_at_ECCV_2022_Scaling_3D_Detection_to_the_Long_Tail__b84FbSZFJeQ.md@14000
액센츄어,THIN,2,0,2,2,2,10,1,0,1,0,0,Accenture:1;Snowflake:1,transcripts/channels/Accenture/The_Skills_Mismatch_Economy_How_AI_is_reshaping_skill_demand__HmuEoDwZnqg.md@1000|transcripts/channels/Snowflake/Snowflake_Summit_2026_Opening_Keynote_With_Sridhar_Ramaswamy__F34xlRoQ3eQ.md@7000
SDLC,THIN,2,0,2,2,2,4,1,0,2,0,0,IBM Technology:2,"transcripts/channels/IBM_Technology/Agent_control_planes_&_OpenAI_model_solves_Erdős__wVdivlahcm0.md@3000|transcripts/channels/IBM_Technology/The_future_of_software_engineering,_tokenmaxxing_and_AI_in_h__EKULOf_Cy0w.md@5000"
LAR,THIN,2,0,2,2,2,7,2,0,1,0,0,IBM Technology:1;Waymo:1,"transcripts/channels/IBM_Technology/The_future_of_software_engineering,_tokenmaxxing_and_AI_in_h__EKULOf_Cy0w.md@2000|transcripts/channels/Waymo/Waymo_&_NVIDIA_on_their_futures_in_autonomy_AI_in_Motion__osMnHe8691Q.md@9000"
Fable,THIN,2,0,2,2,2,12,1,0,1,0,0,IBM Technology:1;Weaviate:1,transcripts/channels/IBM_Technology/Claude_Fable_5_&_Apple’s_NVIDIA_deal__aByPOYCEH6I.md@2000|transcripts/channels/Weaviate/Founding_Weaviate_with_Bob_van_Luijt_and_Etienne_Dilocker_-___pvv-vnT-LfQ.md@3000
ADK,THIN,2,0,2,2,1,6,0,2,1,0,0,Google Cloud Tech:2,transcripts/channels/Google_Cloud_Tech/Scale_AI_agents_in_production__LHcjN11nNPU.md@6000|transcripts/channels/Google_Cloud_Tech/The_agent-quality_flywheel_Using_Gemini_Enterprise_Agent_Pla__eLQAJqydXqY.md@6000
Gemma,THIN,2,0,2,2,2,2,2,1,2,0,0,Google Cloud Tech:1;Hugging Face:1,transcripts/channels/Google_Cloud_Tech/Inside_Google_Antigravity_2.0_The_complete_developer_guide_T__Dk4MD6TNiWE.md@5000|transcripts/channels/Hugging_Face/🤗_Hugging_Cast_S2E3_-_Deploying_LLMs_on_Google_Cloud__gVLYrDPNPzY.md@5000
TCS,THIN,2,2,0,2,2,5,2,0,0,1,1,TCS:2,"transcripts/channels/TCS/WJEC_transforms_its_exam_processing_systems_for_seamless_use__OiN7wr6bh_k.md@0|transcripts/channels/TCS/TCS_ADD™_Safety,_A_next_generation_AI_Platform_for_Pharmacov__tpMRbkwLiPs.md@0"
B2B,THIN,2,0,2,2,2,9,1,0,1,0,0,Databricks:1;Huawei:1,"transcripts/channels/Databricks/Sam_Altman_and_Ali_Ghodsi_OpenAI_+_Databricks,_AI_Agents_in___gz1sOEETcgE.md@7000|transcripts/channels/Huawei/Our_North_Star_IOH_&_AI_Transforming_Indonesia's_Intelligent__QZZBEYvYq6g.md@2000"
Foundry,THIN,2,0,2,2,2,6,1,1,1,0,0,Databricks:1;Palantir:1,transcripts/channels/Databricks/Databricks_x_Palantir_Partnership_Deep_Dive__BsSwqYuok1A.md@4000|transcripts/channels/Palantir/Paragon_2025__UjkRz9HkldU.md@21000
Frontier,THIN,2,0,2,2,2,2,0,0,2,0,0,Databricks:1;Weights & Biases:1,transcripts/channels/Databricks/Developing_and_Deploying_Databricks_ai_parse_document_for_In__kH7p1lr4Be4.md@17000|transcripts/channels/Weights_&_Biases/What’s_the_path_to_AGI_A_conversation_with_Turing_Co-founder__DJS7cop0CCw.md@14000
GIA,THIN,2,0,2,2,2,4,0,0,0,0,0,Wayve:2,transcripts/channels/Wayve/Ride_The_Wayve_with_CEO_Alex_and_VP_of_AI_Vijay__TQfNIb79Ju8.md@14000|transcripts/channels/Wayve/Ride_The_Wayve_with_Christopher_Young__nDpkBwAGGtM.md@1000
Inception,THIN,2,0,2,2,2,5,2,0,0,0,0,Wayve:1;NVIDIA Developer:1,transcripts/channels/Wayve/Embodied_AI_for_Autonomous_Driving__ioL4Vhf5UYw.md@0|transcripts/channels/NVIDIA_Developer/NVIDIA_GTC_2025_Recap_for_Startups__HurV6ZUq0RY.md@0
They're,THIN,2,0,2,2,2,2,2,0,2,0,0,ElevenLabs:1;Meta:1,transcripts/channels/ElevenLabs/How_Polsat_Plus_Group_Is_Leading_Polish_Media_in_the_AI_Era___ndnYh8DPEBE.md@17000|transcripts/channels/Meta/Boz_To_The_Future_#27_The_Future_According_to_Shyam_Sankar__bOTy3Q5_trw.md@52000
FDA,THIN,2,0,2,2,2,7,0,1,1,0,0,Mayo Clinic:1;Intel:1,transcripts/channels/Mayo_Clinic/AI-ECG_helps_physicians_detect_hidden_heart_condition__fb-Z0yHiFXg.md@0|transcripts/channels/Intel/AI_at_the_Edge_Transforming_Industries_and_the_Workplace​_In__mrWTLjitaX4.md@7000
Lambda,THIN,2,0,2,2,2,4,0,0,0,0,0,AWS Events:1;AWS Developers:1,transcripts/channels/AWS_Events/AWS_Summit_Mumbai_2026_Keynote_AWS_Events__0x_Q0wNux_U.md@18000|transcripts/channels/AWS_Developers/Code_Fundamentals_Data_Structures_Demystified__ha2BCvDTwJM.md@2000
CSP,THIN,2,0,2,2,2,4,1,0,0,0,0,AWS Events:1;Nokia:1,transcripts/channels/AWS_Events/Agentic_AI-based_network_digital_twin_as_a_graph_AWS_Events__ihzC6Rx5PjE.md@0|transcripts/channels/Nokia/Cloud_Packet_Core_-_Cloud-native_Appliances_scaling_5G_edge___VpJnWW85ZEk.md@8000
RHF,THIN,2,0,2,2,2,6,1,0,1,0,0,Weights & Biases:1;Weaviate:1,transcripts/channels/Weights_&_Biases/What’s_the_path_to_AGI_A_conversation_with_Turing_Co-founder__DJS7cop0CCw.md@8000|transcripts/channels/Weaviate/Deep_Learning_with_Letitia_Parcalabescu_-_Weaviate_Podcast_#__KeWCJ6NfPds.md@14000
ASR,THIN,2,0,2,2,2,3,0,1,0,0,0,Cohere:1;Intel:1,transcripts/channels/Cohere/Fatemeh_Ghezloo_-_Making_Sense_of_Slides_From_Multimodal_Dat__naW98Kh-xvE.md@3000|transcripts/channels/Intel/AI_for_Accessibility_How_Sorenson_Is_Advancing_Inclusive_Com__vx1g4xu5qMk.md@5000
PubMed,THIN,2,0,2,2,2,14,1,1,1,0,0,Qdrant:2,transcripts/channels/Qdrant/Qdrant_+_Oncotelic_Building_the_DNA_of_Search_Bastian_Hofman__srmU9n95ce0.md@0|transcripts/channels/Qdrant/Biomedical_AI_Copilot_with_Neo4j_and_Qdrant__10g1iJnfLWQ.md@22000
Arm,THIN,2,1,1,2,2,8,0,0,0,0,1,ServiceNow:1;Arm:1,transcripts/channels/ServiceNow/The_Blueprint_for_Agentic_Business_ServiceNow_Knowledge_2026__q8kaVEkTWho.md@29000|transcripts/channels/Arm/Arm_Viewpoints_The_Arm_AGI_CPU_launch_and_future_of_AI_infra__M_7MUDwMUvI.md@10000
PLM,THIN,2,0,2,2,2,10,1,1,2,0,0,Siemens:2,"transcripts/channels/Siemens/How_to_Scale_Industrial_AI_in_Real_Factory_Operations__46KctH5TgSs.md@2000|transcripts/channels/Siemens/Physical_AI,_Digital_Twins,_and_the_Future_of_Factory_Operat__GAW048wxwGk.md@3000"
MES,THIN,2,0,2,2,2,3,1,0,0,0,0,Siemens:1;McKinsey & Company:1,"transcripts/channels/Siemens/Physical_AI,_Digital_Twins,_and_the_Future_of_Factory_Operat__GAW048wxwGk.md@1000|transcripts/channels/McKinsey_&_Company/Winning_the_Race_to_Rewire_in_2026_Capturing_operational_adv__QHLntsXsVCQ.md@5000"
Weaviate,THIN,2,2,0,2,2,8,2,0,0,0,1,Weaviate:2,transcripts/channels/Weaviate/Search_Agents_with_Nandan_Thakur_-_Weaviate_Podcast_#137!__B71WF6EtgK8.md@1000|transcripts/channels/Weaviate/Building_a_production-ready_legal_RAG_app..._in_one_prompt__skeKcYbPT9g.md@1000
Learning Leadership Manager,THIN,2,0,2,2,2,5,1,0,2,0,0,Weaviate:1;McKinsey & Company:1,transcripts/channels/Weaviate/Search_Agents_with_Nandan_Thakur_-_Weaviate_Podcast_#137!__B71WF6EtgK8.md@2000|transcripts/channels/McKinsey_&_Company/Agentic_AI_Explained_McKinsey_&_Company__DsRNp3cmJm0.md@4000
Pinecone,THIN,2,2,0,2,1,2,1,0,1,0,1,Pinecone:2,"transcripts/channels/Pinecone/Harnessing_RAG_with_Open-Source_LLMs_—_@matthew_berman,_@jam__tPXwaehj7oQ.md@5000|transcripts/channels/Pinecone/Making_Retrieval_Augmented_Generation_Better_with_@jamesbrig__Q-uEhJMu3ak.md@0"
Pine,THIN,2,0,2,2,2,2,1,0,2,1,0,Pinecone:2,transcripts/channels/Pinecone/RAG_Brag_with_John_Wang_of_Assembled__kuKBzkKDaQ0.md@5000|transcripts/channels/Pinecone/Supercharge_Conversational_AI_with_Pinecone_x_Haystack__TYuoQjWur8w.md@17000
맥킨지,THIN,2,0,2,2,2,6,1,1,2,0,0,McKinsey & Company:2,transcripts/channels/McKinsey_&_Company/Can_the_US_Sustain_Its_Competitive_Edge__6bvFK0Nakdk.md@10000|transcripts/channels/McKinsey_&_Company/Rewiring_for_AI_From_Ambition_to_Advantage__E7KxzkK2lYA.md@0
MGI,THIN,2,0,2,2,2,4,2,0,0,0,0,McKinsey & Company:2,transcripts/channels/McKinsey_&_Company/The_Rise_of_the_Human–AI_Workforce__pt7pbl7Jhhg.md@1000|transcripts/channels/McKinsey_&_Company/Building_a_World_of_Plenty_A_Bold_Vision_for_Global_Prosperi__o6Pb4mjf9eE.md@22000
삼성전자,THIN,2,0,2,2,2,10,1,0,0,0,0,KW:2026-07-26:1;KW:2026-08-04:1,transcripts/2026-07-26/일본_독점_끝났다_7000조_로봇_시장_판도_바꾼_LG의_60년_된_비밀병기!__heTDUcsmn7g.md@5000|transcripts/2026-08-04/Did_the_AI_bubble_burst_The_reality_at_data_centers_is_the_c__2q65JwFL_H4.md@7000
Go High,THIN,2,0,2,1,1,4,2,0,0,0,0,KW:2026-08-03:2,transcripts/2026-08-03/How_to_Build_an_AI_Agent_with_Claude_Code_(Claude_AI_Agent_T__bcM9dP_uXJU.md@0|transcripts/2026-08-03/How_to_Build_an_AI_Agent_with_Claude_Code_(Claude_AI_Agent_T__bcM9dP_uXJU.md@1000
MADV,THIN,2,0,2,1,1,3,2,1,2,0,0,KW:2026-08-03:2,transcripts/2026-08-03/Fail_Forward_Why_AI_Adoption_Rewards_the_Willing__XrD-W6013G0.md@3000|transcripts/2026-08-03/Fail_Forward_Why_AI_Adoption_Rewards_the_Willing__XrD-W6013G0.md@4000
Kipu,THIN,2,0,2,1,1,9,2,2,1,0,0,KW:2026-08-03:2,transcripts/2026-08-03/Analythics_Architecture_Promising_AI_Use_Cases_for_the_Enter__JhbsIutTwXM.md@11000|transcripts/2026-08-03/Analythics_Architecture_Promising_AI_Use_Cases_for_the_Enter__JhbsIutTwXM.md@12000
HTML,THIN,2,0,2,1,1,4,2,0,0,0,0,KW:2026-08-03:2,transcripts/2026-08-03/Innovating_&_Measuring_ROI_for_Enterprise_Organizations_Thro__U84H7KOAlyU.md@8000|transcripts/2026-08-03/Innovating_&_Measuring_ROI_for_Enterprise_Organizations_Thro__U84H7KOAlyU.md@9000
Like,THIN,2,0,2,1,1,8,2,0,0,0,0,Replit:2,transcripts/channels/Replit/The_Untold_Chaos_Behind_a_$3_Billion_AI_Startup_Launch__zB1lpGNWVtg.md@39000|transcripts/channels/Replit/The_Untold_Chaos_Behind_a_$3_Billion_AI_Startup_Launch__zB1lpGNWVtg.md@40000
CRO,THIN,2,0,2,1,1,4,2,0,0,0,0,Replit:2,"transcripts/channels/Replit/Entrepreneurs_The_New_Playbook_with_Troy_Osinoff,_Nik_Sharma__RtTxm6VV2N8.md@2000|transcripts/channels/Replit/Entrepreneurs_The_New_Playbook_with_Troy_Osinoff,_Nik_Sharma__RtTxm6VV2N8.md@3000"
Saster,THIN,2,0,2,1,1,15,2,0,1,0,0,Replit:2,transcripts/channels/Replit/Jason_Lemkin_Built_7_Production_Apps_in_3_Months_with_Replit__ikOrCS67TeI.md@1000|transcripts/channels/Replit/Jason_Lemkin_Built_7_Production_Apps_in_3_Months_with_Replit__ikOrCS67TeI.md@2000
Composer,THIN,2,0,2,1,1,14,0,0,1,0,0,Cursor:2,"transcripts/channels/Cursor/Opening_Keynote,_Michael_Truell_Compile_26__fWa7uxyhVDE.md@5000|transcripts/channels/Cursor/Opening_Keynote,_Michael_Truell_Compile_26__fWa7uxyhVDE.md@6000"
Code,THIN,2,0,2,1,1,2,0,0,0,0,0,Salesforce:2,transcripts/channels/Salesforce/Build_the_Future_with_Salesforce_Headless_360_TDX_2026_Keyno__aKsZdyyzcfU.md@40000|transcripts/channels/Salesforce/Build_the_Future_with_Salesforce_Headless_360_TDX_2026_Keyno__aKsZdyyzcfU.md@41000
SAP Integration,THIN,2,0,2,1,1,4,0,0,1,0,0,SAP:2,transcripts/channels/SAP/The_Future_of_Integration_with_SAP_BTP_feat._Dr._Achim_Krais__ZzBZWAbinzE.md@4000|transcripts/channels/SAP/The_Future_of_Integration_with_SAP_BTP_feat._Dr._Achim_Krais__ZzBZWAbinzE.md@5000
Quest,THIN,2,0,2,1,1,3,2,0,0,0,0,Meta Developers:2,transcripts/channels/Meta_Developers/From_Mobile_to_Meta_Horizon_OS__gEIksIz0vVE.md@7000|transcripts/channels/Meta_Developers/From_Mobile_to_Meta_Horizon_OS__gEIksIz0vVE.md@8000
LBO,THIN,2,0,2,1,1,3,1,0,2,0,0,OpenAI:2,"transcripts/channels/OpenAI/OpenAI_on_OpenAI_Stacie_Faggioli,_Business_Finance_Officer_A__1NtS2KdnDok.md@2000|transcripts/channels/OpenAI/OpenAI_on_OpenAI_Stacie_Faggioli,_Business_Finance_Officer_A__1NtS2KdnDok.md@3000"
NeMo,THIN,2,0,2,1,1,3,2,0,0,0,0,NVIDIA:2,transcripts/channels/NVIDIA/NVIDIA_GTC_2026_Healthcare_Special_Address__TCOU1imv09U.md@1000|transcripts/channels/NVIDIA/NVIDIA_GTC_2026_Healthcare_Special_Address__TCOU1imv09U.md@6000
USD,THIN,2,0,2,1,1,3,2,0,0,0,0,NVIDIA:2,transcripts/channels/NVIDIA/Advancing_AI_and_HPC_Competency_in_Higher_Education_Through___DIIteghPGx4.md@6000|transcripts/channels/NVIDIA/Advancing_AI_and_HPC_Competency_in_Higher_Education_Through___DIIteghPGx4.md@7000
Lightwell,THIN,2,0,2,1,1,4,1,0,0,0,0,IBM Technology:2,"transcripts/channels/IBM_Technology/GLM-5.2_The_real_security_risk_Plus_Vibe_hunting,_the_end_of__qXGJ7pi-XOo.md@17000|transcripts/channels/IBM_Technology/GLM-5.2_The_real_security_risk_Plus_Vibe_hunting,_the_end_of__qXGJ7pi-XOo.md@18000"
WAL,THIN,2,0,2,1,1,5,0,0,0,0,0,Microsoft Developer:2,transcripts/channels/Microsoft_Developer/Why_we_built_Azure_HorizonDB_for_PostgreSQL_POSETTE_An_Event__U3ssJlQAJuA.md@1000|transcripts/channels/Microsoft_Developer/Why_we_built_Azure_HorizonDB_for_PostgreSQL_POSETTE_An_Event__U3ssJlQAJuA.md@2000
ClaudeMD,THIN,2,0,2,1,1,2,2,1,2,0,0,Google Cloud Tech:2,transcripts/channels/Google_Cloud_Tech/Intent-driven_development_with_Claude_Code_&_Fable_5__6ERUGFurDHY.md@17000|transcripts/channels/Google_Cloud_Tech/Intent-driven_development_with_Claude_Code_&_Fable_5__6ERUGFurDHY.md@18000
GUI,THIN,2,0,2,1,1,17,2,0,0,0,0,Google Cloud Tech:2,transcripts/channels/Google_Cloud_Tech/Intent-driven_development_with_Claude_Code_&_Fable_5__6ERUGFurDHY.md@21000|transcripts/channels/Google_Cloud_Tech/Intent-driven_development_with_Claude_Code_&_Fable_5__6ERUGFurDHY.md@22000
GKE,THIN,2,0,2,1,1,3,0,0,1,0,0,Google Cloud Tech:2,"transcripts/channels/Google_Cloud_Tech/What's_new_for_AI_on_GKE_Training,_serving,_and_agents__XI726xo0a98.md@15000|transcripts/channels/Google_Cloud_Tech/What's_new_for_AI_on_GKE_Training,_serving,_and_agents__XI726xo0a98.md@16000"
San Diego,THIN,2,0,2,1,1,3,0,0,1,0,0,Snowflake:2,transcripts/channels/Snowflake/BUILD_2025_Opening_Keynote_Building_the_Agentic_AI_Future__MPLMS0736zI.md@41000|transcripts/channels/Snowflake/BUILD_2025_Opening_Keynote_Building_the_Agentic_AI_Future__MPLMS0736zI.md@42000
Cocoa,THIN,2,0,2,1,1,4,2,0,2,0,0,Snowflake:2,transcripts/channels/Snowflake/Snowflake_Summit_2026_Builder_Keynote__WFR07HIvCrQ.md@20000|transcripts/channels/Snowflake/Snowflake_Summit_2026_Builder_Keynote__WFR07HIvCrQ.md@21000
We're,THIN,2,0,2,1,1,5,0,0,2,0,0,Snowflake:2,transcripts/channels/Snowflake/Snowflake_Summit_2026_Platform_Keynote__CtqKJV6gyGQ.md@37000|transcripts/channels/Snowflake/Snowflake_Summit_2026_Platform_Keynote__CtqKJV6gyGQ.md@38000
LakeBase,THIN,2,0,2,1,1,6,1,0,0,0,0,Databricks:2,"transcripts/channels/Databricks/Ali_Ghodsi,_Co-founder_and_CEO,_Databricks_kicks_off_Data_+___M_rlJXln5KE.md@13000|transcripts/channels/Databricks/Ali_Ghodsi,_Co-founder_and_CEO,_Databricks_kicks_off_Data_+___M_rlJXln5KE.md@14000"
OLAP,THIN,2,0,2,1,1,3,0,0,0,0,0,Databricks:2,transcripts/channels/Databricks/AI_Agents_That_Remember_Building_Stateful_Systems_with_Lakeb__UrIybbk-aY4.md@3000|transcripts/channels/Databricks/AI_Agents_That_Remember_Building_Stateful_Systems_with_Lakeb__UrIybbk-aY4.md@4000
OLTP,THIN,2,0,2,1,1,3,0,0,0,0,0,Databricks:2,transcripts/channels/Databricks/AI_Agents_That_Remember_Building_Stateful_Systems_with_Lakeb__UrIybbk-aY4.md@3000|transcripts/channels/Databricks/AI_Agents_That_Remember_Building_Stateful_Systems_with_Lakeb__UrIybbk-aY4.md@4000
KVI,THIN,2,0,2,1,1,3,0,0,2,0,0,Databricks:2,"transcripts/channels/Databricks/Entretien_avec_Didier_Mamma,_Decathlon__TlPjkINQNsI.md@1000|transcripts/channels/Databricks/Entretien_avec_Didier_Mamma,_Decathlon__TlPjkINQNsI.md@2000"
App,THIN,2,0,2,1,1,6,0,0,1,0,0,Databricks:2,transcripts/channels/Databricks/Solving_AI_development_bottlenecks_with_Databricks_App_(with__xkbu_ix1nWU.md@2000|transcripts/channels/Databricks/Solving_AI_development_bottlenecks_with_Databricks_App_(with__xkbu_ix1nWU.md@3000
WebFlow,THIN,2,0,2,1,1,7,1,0,2,0,0,Zapier:2,transcripts/channels/Zapier/Leading_through_AI_How_top_executives_are_turning_AI_mandate__g6q02hUd_Wc.md@5000|transcripts/channels/Zapier/Leading_through_AI_How_top_executives_are_turning_AI_mandate__g6q02hUd_Wc.md@6000
To-D,THIN,2,0,2,1,1,11,2,0,0,0,0,Zapier:2,transcripts/channels/Zapier/The_Executive's_AI_Agent_You_Can_Build_Today__-x-nXqz4tKM.md@23000|transcripts/channels/Zapier/The_Executive's_AI_Agent_You_Can_Build_Today__-x-nXqz4tKM.md@24000
RevOps,THIN,2,0,2,1,1,5,0,1,0,0,0,Zapier:2,transcripts/channels/Zapier/Build_an_AI_First_RevOps_Team_for_MAXIMUM_Impact__4_vkQdMQ5xs.md@3000|transcripts/channels/Zapier/Build_an_AI_First_RevOps_Team_for_MAXIMUM_Impact__4_vkQdMQ5xs.md@17000
Wreckit,THIN,2,0,2,1,1,5,1,0,0,0,0,Reckitt:2,transcripts/channels/Reckitt/Reckitt_Focus_On_Sustainability__m92oCw_UJnY.md@6000|transcripts/channels/Reckitt/Reckitt_Focus_On_Sustainability__m92oCw_UJnY.md@7000
Transformer,THIN,2,0,2,1,1,9,2,0,0,0,0,Wayve:2,transcripts/channels/Wayve/CVPR24_E2EAI_Gianluca_Corrado_Learning_Models_of_the_World__q9ZO1RO5-ys.md@4000|transcripts/channels/Wayve/CVPR24_E2EAI_Gianluca_Corrado_Learning_Models_of_the_World__q9ZO1RO5-ys.md@5000
Collab,THIN,2,0,2,1,1,15,2,0,0,0,0,Alibaba Cloud:2,transcripts/channels/Alibaba_Cloud/Alibaba_Cloud_Claw_Talks_EP2_Enterprise_Productivity_with_Qo__cK3qfRTjgWE.md@8000|transcripts/channels/Alibaba_Cloud/Alibaba_Cloud_Claw_Talks_EP2_Enterprise_Productivity_with_Qo__cK3qfRTjgWE.md@9000
NHS,THIN,2,0,2,1,1,10,1,0,0,0,0,AWS Events:2,transcripts/channels/AWS_Events/AWS_Summit_Washington_DC_2026_-_Keynote_Amazon_Web_Services__QGaPF8NsOE4.md@25000|transcripts/channels/AWS_Events/AWS_Summit_Washington_DC_2026_-_Keynote_Amazon_Web_Services__QGaPF8NsOE4.md@26000
FAQ,THIN,2,0,2,1,1,5,2,0,2,0,0,AWS Events:2,transcripts/channels/AWS_Events/NYC_Executive_Forum_2026_-_The_Collective_Edge_Cross-functio__3JHA7ayOJuE.md@6000|transcripts/channels/AWS_Events/NYC_Executive_Forum_2026_-_The_Collective_Edge_Cross-functio__3JHA7ayOJuE.md@7000
Anthropics Build,THIN,2,0,2,1,1,17,2,1,0,0,0,AWS Events:2,transcripts/channels/AWS_Events/A_leader’s_guide_to_advanced_team_structures_in_an_agentic_w__O7u6myBRsns.md@5000|transcripts/channels/AWS_Events/A_leader’s_guide_to_advanced_team_structures_in_an_agentic_w__O7u6myBRsns.md@6000
PIN,THIN,2,0,2,1,1,7,0,1,1,0,0,AWS Events:2,transcripts/channels/AWS_Events/Tokyo_Executive_Forum_2026_-_Fireside_Chat_with_Jason_Bennet__1YbKbO1p7GQ.md@8000|transcripts/channels/AWS_Events/Tokyo_Executive_Forum_2026_-_Fireside_Chat_with_Jason_Bennet__1YbKbO1p7GQ.md@9000
Jobs,THIN,2,0,2,1,1,6,0,0,0,0,0,AWS Events:2,transcripts/channels/AWS_Events/NYC_Executive_Forum_2026_-_Leading_Transformation_When_Techn__-7VeuZfH0DM.md@12000|transcripts/channels/AWS_Events/NYC_Executive_Forum_2026_-_Leading_Transformation_When_Techn__-7VeuZfH0DM.md@13000
Be Done,THIN,2,0,2,1,1,6,0,0,0,0,0,AWS Events:2,transcripts/channels/AWS_Events/NYC_Executive_Forum_2026_-_Leading_Transformation_When_Techn__-7VeuZfH0DM.md@12000|transcripts/channels/AWS_Events/NYC_Executive_Forum_2026_-_Leading_Transformation_When_Techn__-7VeuZfH0DM.md@13000
JTBD,THIN,2,0,2,1,1,6,0,0,0,0,0,AWS Events:2,transcripts/channels/AWS_Events/NYC_Executive_Forum_2026_-_Leading_Transformation_When_Techn__-7VeuZfH0DM.md@12000|transcripts/channels/AWS_Events/NYC_Executive_Forum_2026_-_Leading_Transformation_When_Techn__-7VeuZfH0DM.md@13000
JVS,THIN,2,0,2,1,1,4,2,2,1,0,0,AWS Events:2,transcripts/channels/AWS_Events/Tokyo_Executive_Forum_2026_-_A_Leader's_Guide_to_Advanced_Te__IfFVeLcr-co.md@3000|transcripts/channels/AWS_Events/Tokyo_Executive_Forum_2026_-_A_Leader's_Guide_to_Advanced_Te__IfFVeLcr-co.md@4000
Versel,THIN,2,0,2,1,1,7,0,0,2,0,0,Weights & Biases:2,transcripts/channels/Weights_&_Biases/Vercel’s_CEO_&_founder_Guillermo_Rauch_on_AI’s_impact_on_web__nHlunMYEJyg.md@10000|transcripts/channels/Weights_&_Biases/Vercel’s_CEO_&_founder_Guillermo_Rauch_on_AI’s_impact_on_web__nHlunMYEJyg.md@11000
CICD,THIN,2,0,2,1,1,7,0,0,2,0,0,Weights & Biases:2,transcripts/channels/Weights_&_Biases/Vercel’s_CEO_&_founder_Guillermo_Rauch_on_AI’s_impact_on_web__nHlunMYEJyg.md@10000|transcripts/channels/Weights_&_Biases/Vercel’s_CEO_&_founder_Guillermo_Rauch_on_AI’s_impact_on_web__nHlunMYEJyg.md@11000
STEM,THIN,2,0,2,1,1,7,1,0,2,0,0,Weights & Biases:2,transcripts/channels/Weights_&_Biases/What’s_the_path_to_AGI_A_conversation_with_Turing_Co-founder__DJS7cop0CCw.md@1000|transcripts/channels/Weights_&_Biases/What’s_the_path_to_AGI_A_conversation_with_Turing_Co-founder__DJS7cop0CCw.md@2000
ProMG,THIN,2,0,2,1,1,2,0,0,0,0,0,Cohere:2,transcripts/channels/Cohere/Gauri_Kholkar_-_Context_Aware_Prompt_Injection_Testing_and_R__-Ug6-aLqhWY.md@0|transcripts/channels/Cohere/Gauri_Kholkar_-_Context_Aware_Prompt_Injection_Testing_and_R__-Ug6-aLqhWY.md@1000
Another,THIN,2,0,2,1,1,3,2,0,0,0,0,Cohere:2,transcripts/channels/Cohere/ML_Summer_School_2026_-_Evaluations_with_Laurie_Voss__h72YYAUWwx0.md@41000|transcripts/channels/Cohere/ML_Summer_School_2026_-_Evaluations_with_Laurie_Voss__h72YYAUWwx0.md@42000
EBITDA,THIN,2,0,2,1,1,12,1,0,0,0,0,Huawei:2,transcripts/channels/Huawei/Our_North_Star_IOH_&_AI_Transforming_Indonesia's_Intelligent__QZZBEYvYq6g.md@1000|transcripts/channels/Huawei/Our_North_Star_IOH_&_AI_Transforming_Indonesia's_Intelligent__QZZBEYvYq6g.md@2000
XCSS,THIN,2,0,2,1,1,4,1,0,2,0,0,Intel:2,transcripts/channels/Intel/Core_Ultra_Series_3_Launch_Event_Intel__KlIlFt2Fj1c.md@7000|transcripts/channels/Intel/Core_Ultra_Series_3_Launch_Event_Intel__KlIlFt2Fj1c.md@8000
AIPC,THIN,2,0,2,1,1,4,1,0,2,0,0,Intel:2,transcripts/channels/Intel/Core_Ultra_Series_3_Launch_Event_Intel__KlIlFt2Fj1c.md@7000|transcripts/channels/Intel/Core_Ultra_Series_3_Launch_Event_Intel__KlIlFt2Fj1c.md@8000
CAD,THIN,2,0,2,1,1,3,2,0,2,0,0,Intel:2,transcripts/channels/Intel/Core_Ultra_Series_3_Launch_Event_Intel__KlIlFt2Fj1c.md@8000|transcripts/channels/Intel/Core_Ultra_Series_3_Launch_Event_Intel__KlIlFt2Fj1c.md@9000
